Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-03-27,W,8,1,1,7,1,0,LAA,,31403.0
2025-03-29,L,0,1,0,-1,1,0,LAA,,20602.0
2025-03-30,L,2,3,0,-1,1,0,LAA,,19591.0
2025-03-31,W,9,0,1,9,1,0,MIN,,10423.0
2025-04-01,L,3,8,0,-5,1,0,MIN,,12089.0
2025-04-02,L,1,6,0,-5,1,0,MIN,,10193.0
2025-04-04,L,4,7,0,-3,0,0,DET,,44735.0
2025-04-05,L,2,7,0,-5,0,0,DET,,26098.0
2025-04-06,L-wo,3,4,0,-1,0,1,DET,,20981.0
2025-04-08,L-wo,0,1,0,-1,0,1,CLE,,33722.0
2025-04-09,L,2,3,0,-1,0,0,CLE,,12997.0
2025-04-10,L,1,6,0,-5,0,0,CLE,,12663.0
2025-04-11,W,11,1,1,10,1,0,BOS,,13432.0
2025-04-12,W-wo,3,2,1,1,1,1,BOS,,30423.0
2025-04-13,L,1,3,0,-2,1,0,BOS,,18840.0
2025-04-15,L,3,12,0,-9,1,0,ATH,,10673.0
2025-04-16,L,1,3,0,-2,1,0,ATH,,10411.0
2025-04-17,L,0,8,0,-8,1,0,ATH,,10560.0
2025-04-18,L,3,10,0,-7,0,0,BOS,,35620.0
2025-04-19,L-wo,3,4,0,-1,0,1,BOS,10.0,36559.0
2025-04-20,W,8,4,1,4,0,0,BOS,,32632.0
2025-04-21,L,2,4,0,-2,0,0,BOS,,34721.0
2025-04-22,L,2,4,0,-2,0,0,MIN,,11828.0
2025-04-23,L,3,6,0,-3,0,0,MIN,,12407.0
2025-04-24,W,3,0,1,3,0,0,MIN,7.0,12414.0
2025-04-25,L,5,6,0,-1,0,0,ATH,,10283.0
2025-04-26,W,10,3,1,7,0,0,ATH,,8832.0
2025-04-27,L-wo,2,3,0,-1,0,1,ATH,10.0,9127.0
2025-04-29,L,2,7,0,-5,1,0,MIL,,14904.0
2025-04-30,L,4,6,0,-2,1,0,MIL,,10253.0
2025-05-01,W,8,0,1,8,1,0,MIL,,11917.0
2025-05-02,W,7,3,1,4,1,0,HOU,,13866.0
2025-05-03,L,3,8,0,-5,1,0,HOU,,20874.0
2025-05-04,W,5,4,1,1,1,0,HOU,7.0,19418.0
2025-05-05,L,0,3,0,-3,0,0,KCR,,12529.0
2025-05-06,L-wo,3,4,0,-1,0,1,KCR,,15968.0
2025-05-07,L,1,2,0,-1,0,0,KCR,,12328.0
2025-05-08,L,0,10,0,-10,0,0,KCR,,25386.0
2025-05-09,W,6,2,1,4,1,0,MIA,,18992.0
2025-05-10,L,1,3,0,-2,1,0,MIA,,24264.0
2025-05-11,W,4,2,1,2,1,0,MIA,,16805.0
2025-05-13,W,5,1,1,4,0,0,CIN,10.0,18997.0
