Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-03-28,L-wo,2,3,0,-1,0,1,TBR,,10046.0
2025-03-29,W,2,1,1,1,0,0,TBR,,10046.0
2025-03-30,L,4,6,0,-2,0,0,TBR,,10046.0
2025-03-31,L,1,6,0,-5,0,0,PHI,,44595.0
2025-04-02,L,1,5,0,-4,0,0,PHI,,37550.0
2025-04-03,L,1,3,0,-2,0,0,PHI,,34097.0
2025-04-04,L,3,6,0,-3,1,0,ATH,11.0,48015.0
2025-04-05,L,4,7,0,-3,1,0,ATH,,27599.0
2025-04-06,W,12,5,1,7,1,0,ATH,,26207.0
2025-04-08,L,1,7,0,-6,1,0,MIL,,18657.0
2025-04-09,L,2,17,0,-15,1,0,MIL,,18867.0
2025-04-10,W,7,2,1,5,1,0,MIL,,18593.0
2025-04-11,L,0,8,0,-8,0,0,SDP,,44089.0
2025-04-12,L,0,2,0,-2,0,0,SDP,,44066.0
2025-04-13,L,0,6,0,-6,0,0,SDP,,42706.0
2025-04-14,L,3,5,0,-2,0,0,LAD,,52693.0
2025-04-15,L,2,6,0,-4,0,0,LAD,,53198.0
2025-04-16,L,7,8,0,-1,0,0,LAD,,52143.0
2025-04-19,L,11,12,0,-1,1,0,WSN,,24606.0
2025-04-20,W,3,1,1,2,1,0,WSN,,18703.0
2025-04-20,L,2,3,0,-1,1,0,WSN,,24176.0
2025-04-22,L-wo,3,4,0,-1,0,1,KCR,11.0,14567.0
2025-04-24,L,4,7,0,-3,0,0,KCR,,
2025-04-24,L,2,6,0,-4,0,0,KCR,,15601.0
2025-04-25,L,7,8,0,-1,1,0,CIN,,21743.0
2025-04-26,L,4,6,0,-2,1,0,CIN,,34030.0
2025-04-27,L,1,8,0,-7,1,0,CIN,,28408.0
2025-04-28,L,3,6,0,-3,1,0,ATL,,18852.0
2025-04-29,L,2,8,0,-6,1,0,ATL,,19010.0
2025-04-30,W,2,1,1,1,1,0,ATL,,29661.0
2025-05-01,W,4,3,1,1,0,0,SFG,,27198.0
2025-05-02,L,0,4,0,-4,0,0,SFG,,35036.0
2025-05-03,L,3,6,0,-3,0,0,SFG,,40049.0
2025-05-04,L,3,9,0,-6,0,0,SFG,,41087.0
2025-05-07,L,6,8,0,-2,1,0,DET,10.0,18855.0
2025-05-08,L,2,10,0,-8,1,0,DET,,
2025-05-08,L,1,11,0,-10,1,0,DET,,23030.0
2025-05-09,L,9,13,0,-4,1,0,SDP,,30490.0
2025-05-10,L,0,21,0,-21,1,0,SDP,,38423.0
2025-05-11,W,9,3,1,6,1,0,SDP,,34422.0
2025-05-12,L,1,2,0,-1,0,0,TEX,,23123.0
2025-05-13,L,1,4,0,-3,0,0,TEX,,19924.0
2025-05-14,L,3,8,0,-5,0,0,TEX,,18679.0
2025-05-16,L,0,8,0,-8,0,0,ARI,,35204.0
2025-05-17,W,14,12,1,2,0,0,ARI,,35129.0
2025-05-18,L,0,1,0,-1,0,0,ARI,,28888.0
2025-05-19,L,3,9,0,-6,1,0,PHI,,23487.0
2025-05-20,L,4,7,0,-3,1,0,PHI,,24431.0
2025-05-21,L,5,9,0,-4,1,0,PHI,,23421.0
2025-05-22,L,0,2,0,-2,1,0,PHI,,23308.0
2025-05-23,W,3,2,1,1,1,0,NYY,,47211.0
