Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-03-27,L,2,4,0,-2,0,0,NYY,,46208
2025-03-29,L,9,20,0,-11,0,0,NYY,,46683
2025-03-30,L,3,12,0,-9,0,0,NYY,,41803
2025-03-31,L,1,11,0,-10,1,0,KCR,,41922
2025-04-01,W,5,0,1,5,1,0,KCR,,18008
2025-04-02,W-wo,3,2,1,1,1,1,KCR,11.0,19112
2025-04-03,W,1,0,1,1,1,0,CIN,,20113
2025-04-04,W,3,2,1,1,1,0,CIN,,23004
2025-04-05,L,7,11,0,-4,1,0,CIN,,32772
2025-04-06,W,8,2,1,6,1,0,CIN,,25778
2025-04-08,W,7,1,1,6,0,0,COL,,18657
2025-04-09,W,17,2,1,15,0,0,COL,,18867
2025-04-10,L,2,7,0,-5,0,0,COL,,18593
2025-04-11,W,7,0,1,7,0,0,ARI,,32026
2025-04-12,L-wo,4,5,0,-1,0,1,ARI,,34853
2025-04-13,L,2,5,0,-3,0,0,ARI,,30057
2025-04-14,L,1,9,0,-8,1,0,DET,,20892
2025-04-15,W,5,0,1,5,1,0,DET,,18396
2025-04-16,W,5,1,1,4,1,0,DET,,22360
2025-04-18,W,5,3,1,2,1,0,ATH,,25008
2025-04-19,L,1,3,0,-2,1,0,ATH,,30659
2025-04-20,W,14,1,1,13,1,0,ATH,,21512
2025-04-21,L,2,5,0,-3,0,0,SFG,,31758
2025-04-22,W,11,3,1,8,0,0,SFG,,28573
2025-04-23,L,2,4,0,-2,0,0,SFG,,29049
2025-04-24,L,5,6,0,-1,0,0,SFG,,28592
2025-04-25,L,2,3,0,-1,0,0,STL,,24437
2025-04-26,L-wo,5,6,0,-1,0,1,STL,,35316
2025-04-27,W,7,1,1,6,0,0,STL,,32403
2025-04-29,W,7,2,1,5,0,0,CHW,,14904
2025-04-30,W,6,4,1,2,0,0,CHW,,10253
2025-05-01,L,0,8,0,-8,0,0,CHW,,11917
2025-05-02,L,0,10,0,-10,1,0,CHC,,34559
2025-05-03,L,2,6,0,-4,1,0,CHC,,37335
2025-05-04,W,4,0,1,4,1,0,CHC,,37360
2025-05-05,W,5,1,1,4,1,0,HOU,,20306
2025-05-06,W,4,3,1,1,1,0,HOU,,21075
2025-05-07,L,1,9,0,-8,1,0,HOU,,26922
2025-05-09,L,3,4,0,-1,0,0,TBR,,10046
2025-05-10,L-wo,2,3,0,-1,0,1,TBR,,10046
2025-05-11,W,4,2,1,2,0,0,TBR,,10046
