Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-03-27,L,3,5,0,-2,0,0,STL,,47395.0
2025-03-29,L,1,5,0,-4,0,0,STL,,30712.0
2025-03-30,L,2,9,0,-7,0,0,STL,,26923.0
2025-03-31,L,0,9,0,-9,0,0,CHW,,10423.0
2025-04-01,W,8,3,1,5,0,0,CHW,,12089.0
2025-04-02,W,6,1,1,5,0,0,CHW,,10193.0
2025-04-03,L,2,5,0,-3,1,0,HOU,,36783.0
2025-04-05,W,6,1,1,5,1,0,HOU,,16082.0
2025-04-06,L,7,9,0,-2,1,0,HOU,10.0,14638.0
2025-04-07,L,2,4,0,-2,0,0,KCR,,12041.0
2025-04-08,L,1,2,0,-1,0,0,KCR,,13008.0
2025-04-09,W,4,0,1,4,0,0,KCR,,13156.0
2025-04-10,L,2,3,0,-1,0,0,KCR,,14730.0
2025-04-11,L,6,7,0,-1,1,0,DET,,12900.0
2025-04-12,L,0,4,0,-4,1,0,DET,,23391.0
2025-04-13,W,5,1,1,4,1,0,DET,,15693.0
2025-04-14,L,1,5,0,-4,1,0,NYM,,10240.0
2025-04-15,W,6,3,1,3,1,0,NYM,,12507.0
2025-04-16,W-wo,4,3,1,1,1,1,NYM,10.0,19721.0
2025-04-18,L,4,6,0,-2,0,0,ATL,,39142.0
2025-04-19,L,3,4,0,-1,0,0,ATL,,39278.0
2025-04-20,L,2,6,0,-4,0,0,ATL,,31889.0
2025-04-22,W,4,2,1,2,1,0,CHW,,11828.0
2025-04-23,W,6,3,1,3,1,0,CHW,,12407.0
2025-04-24,L,0,3,0,-3,1,0,CHW,7.0,12414.0
2025-04-25,W,11,4,1,7,1,0,LAA,,14332.0
2025-04-26,W,5,1,1,4,1,0,LAA,,23905.0
2025-04-27,W,5,0,1,5,1,0,LAA,,18615.0
2025-04-28,W,11,1,1,10,0,0,CLE,,15018.0
2025-04-29,L-wo,1,2,0,-1,0,1,CLE,,14312.0
2025-04-30,L,2,4,0,-2,0,0,CLE,,15523.0
2025-05-01,L-wo,3,4,0,-1,0,1,CLE,10.0,15968.0
2025-05-02,L,1,6,0,-5,0,0,BOS,,35914.0
2025-05-03,W,4,3,1,1,0,0,BOS,,36250.0
2025-05-04,W,5,4,1,1,0,0,BOS,,33539.0
2025-05-06,W,9,1,1,8,1,0,BAL,,19779.0
2025-05-07,W,5,2,1,3,1,0,BAL,,16417.0
2025-05-08,W,5,2,1,3,1,0,BAL,,17410.0
2025-05-09,W,3,1,1,2,1,0,SFG,,21744.0
2025-05-10,W,2,1,1,1,1,0,SFG,,23812.0
2025-05-11,W-wo,7,6,1,1,1,1,SFG,10.0,23551.0
2025-05-14,W,6,3,1,3,0,0,BAL,,
2025-05-14,W,8,6,1,2,0,0,BAL,,10169.0
2025-05-15,W,4,0,1,4,0,0,BAL,,30926.0
2025-05-16,W,3,0,1,3,0,0,MIL,,33070.0
2025-05-17,W,7,0,1,7,0,0,MIL,,40267.0
2025-05-18,L,2,5,0,-3,0,0,MIL,,30018.0
2025-05-19,W-wo,6,5,1,1,1,1,CLE,,
2025-05-21,L,1,5,0,-4,1,0,CLE,,26142.0
2025-05-23,W-wo,3,1,1,2,1,1,KCR,,22391.0
2025-05-24,W-wo,5,4,1,1,1,1,KCR,,30720.0
2025-05-25,L,1,2,0,-1,1,0,KCR,10.0,32501.0
2025-05-26,L,2,7,0,-5,0,0,TBR,,8759.0
2025-05-27,W,4,2,1,2,0,0,TBR,,10046.0
2025-05-28,L,0,5,0,-5,0,0,TBR,,8372.0
2025-05-30,W,12,6,1,6,0,0,SEA,10.0,39614.0
2025-05-31,L-wo,4,5,0,-1,0,1,SEA,11.0,37457.0
2025-06-01,L-wo,1,2,0,-1,0,1,SEA,,39003.0
2025-06-02,W,10,4,1,6,0,0,ATH,,8922.0
2025-06-03,W,10,3,1,7,0,0,ATH,,8487.0
2025-06-04,W,6,1,1,5,0,0,ATH,,9211.0
2025-06-05,L,3,14,0,-11,0,0,ATH,,8877.0
2025-06-06,L,4,6,0,-2,1,0,TOR,,26847.0
2025-06-07,L,4,5,0,-1,1,0,TOR,,23476.0
2025-06-08,W,6,3,1,3,1,0,TOR,,22078.0
2025-06-10,L,4,16,0,-12,1,0,TEX,,24765.0
2025-06-11,W,6,2,1,4,1,0,TEX,,18904.0
2025-06-12,L,3,16,0,-13,1,0,TEX,,23995.0
2025-06-13,L,3,10,0,-7,0,0,HOU,,38402.0
2025-06-14,L-wo,2,3,0,-1,0,1,HOU,,36315.0
2025-06-15,L-wo,1,2,0,-1,0,1,HOU,10.0,39757.0
2025-06-17,L,5,6,0,-1,0,0,CIN,,26153.0
2025-06-18,L,2,4,0,-2,0,0,CIN,6.0,25911.0
2025-06-19,W,12,5,1,7,0,0,CIN,,27306.0
2025-06-20,L,6,17,0,-11,1,0,MIL,,28011.0
2025-06-21,L,0,9,0,-9,1,0,MIL,,28321.0
2025-06-22,L,8,9,0,-1,1,0,MIL,,21143.0
2025-06-23,L,2,11,0,-9,1,0,SEA,,17909.0
2025-06-24,L,5,6,0,-1,1,0,SEA,,23532.0
2025-06-25,W,2,0,1,2,1,0,SEA,,15850.0
2025-06-26,W,10,1,1,9,1,0,SEA,,19666.0
