Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-03-27,W,4,2,1,2,1,0,MIL,,46208.0
2025-03-29,W,20,9,1,11,1,0,MIL,,46683.0
2025-03-30,W,12,3,1,9,1,0,MIL,,41803.0
2025-04-01,L,5,7,0,-2,1,0,ARI,,37482.0
2025-04-02,L,3,4,0,-1,1,0,ARI,,40558.0
2025-04-03,W,9,7,1,2,1,0,ARI,,43382.0
2025-04-04,W,9,4,1,5,0,0,PIT,,36893.0
2025-04-05,W,10,4,1,6,0,0,PIT,,30570.0
2025-04-06,L-wo,4,5,0,-1,0,1,PIT,11.0,22898.0
2025-04-07,L,2,6,0,-4,0,0,DET,,14132.0
2025-04-08,L,0,5,0,-5,0,0,DET,,14156.0
2025-04-09,W,4,3,1,1,0,0,DET,,14616.0
2025-04-11,L,1,9,0,-8,1,0,SFG,6.0,35286.0
2025-04-12,W,8,4,1,4,1,0,SFG,,35455.0
2025-04-13,L,4,5,0,-1,1,0,SFG,,36449.0
2025-04-14,W,4,1,1,3,1,0,KCR,,42648.0
2025-04-15,W,4,2,1,2,1,0,KCR,,43601.0
2025-04-16,W,4,3,1,1,1,0,KCR,,43720.0
2025-04-17,W,6,3,1,3,0,0,TBR,,10046.0
2025-04-18,W,1,0,1,1,0,0,TBR,,10046.0
2025-04-19,L-wo,8,10,0,-2,0,1,TBR,10.0,10046.0
2025-04-20,W,4,0,1,4,0,0,TBR,,10046.0
2025-04-21,L,4,6,0,-2,0,0,CLE,,20896.0
2025-04-22,L,2,3,0,-1,0,0,CLE,,21549.0
2025-04-23,W,5,1,1,4,0,0,CLE,,23981.0
2025-04-25,L,2,4,0,-2,1,0,TOR,,46081.0
2025-04-27,W,11,2,1,9,1,0,TOR,,
2025-04-27,W,5,1,1,4,1,0,TOR,,43824.0
2025-04-28,L,3,4,0,-1,0,0,BAL,,22775.0
2025-04-29,W,15,3,1,12,0,0,BAL,,22164.0
2025-04-30,L,4,5,0,-1,0,0,BAL,,22381.0
2025-05-02,W,3,0,1,3,1,0,TBR,,45189.0
2025-05-03,L,2,3,0,-1,1,0,TBR,,44051.0
2025-05-04,L,5,7,0,-2,1,0,TBR,,43349.0
2025-05-05,L,3,4,0,-1,1,0,SDP,,38128.0
2025-05-06,W,12,3,1,9,1,0,SDP,,38090.0
2025-05-07,W-wo,4,3,1,1,1,1,SDP,10.0,42302.0
2025-05-09,W,10,2,1,8,0,0,ATH,,12049.0
2025-05-10,L,7,11,0,-4,0,0,ATH,,12113.0
2025-05-11,W,12,2,1,10,0,0,ATH,,12224.0
2025-05-12,W,11,5,1,6,0,0,SEA,,27895.0
2025-05-13,L-wo,1,2,0,-1,0,1,SEA,11.0,30840.0
2025-05-14,W,3,2,1,1,0,0,SEA,,30520.0
2025-05-16,W,6,2,1,4,1,0,NYM,,47700.0
2025-05-17,L,2,3,0,-1,1,0,NYM,,47510.0
2025-05-18,W,8,2,1,6,1,0,NYM,,48028.0
2025-05-20,W,5,2,1,3,1,0,TEX,,40343.0
2025-05-21,W-wo,4,3,1,1,1,1,TEX,,40359.0
2025-05-22,W,1,0,1,1,1,0,TEX,,43450.0
2025-05-23,L,2,3,0,-1,0,0,COL,,47211.0
2025-05-24,W,13,1,1,12,0,0,COL,,43186.0
2025-05-25,W,5,4,1,1,0,0,COL,,38379.0
2025-05-26,W,5,1,1,4,0,0,LAA,,43626.0
2025-05-27,W,3,2,1,1,0,0,LAA,,34491.0
2025-05-28,W,1,0,1,1,0,0,LAA,,36808.0
2025-05-30,L,5,8,0,-3,0,0,LAD,,53276.0
2025-05-31,L,2,18,0,-16,0,0,LAD,,51746.0
2025-06-01,W,7,3,1,4,0,0,LAD,,54031.0
2025-06-03,W,3,2,1,1,1,0,CLE,,40683.0
2025-06-04,L,0,4,0,-4,1,0,CLE,,36759.0
2025-06-05,W,4,0,1,4,1,0,CLE,,41665.0
2025-06-06,W,9,6,1,3,1,0,BOS,,46783.0
2025-06-07,L,7,10,0,-3,1,0,BOS,,47020.0
2025-06-08,L,7,11,0,-4,1,0,BOS,,45140.0
2025-06-10,W,10,2,1,8,0,0,KCR,,30017.0
2025-06-11,W,6,3,1,3,0,0,KCR,,21182.0
2025-06-12,W,1,0,1,1,0,0,KCR,,23412.0
2025-06-13,L-wo,1,2,0,-1,0,1,BOS,10.0,36622.0
2025-06-14,L,3,4,0,-1,0,0,BOS,,36414.0
2025-06-15,L,0,2,0,-2,0,0,BOS,,36475.0
2025-06-16,L,0,1,0,-1,1,0,LAA,11.0,37398.0
2025-06-17,L,0,4,0,-4,1,0,LAA,,35278.0
2025-06-18,L,2,3,0,-1,1,0,LAA,,43255.0
2025-06-19,W,7,3,1,4,1,0,LAA,,45671.0
2025-06-20,L,3,5,0,-2,1,0,BAL,,47034.0
2025-06-21,W,9,0,1,9,1,0,BAL,,46142.0
