Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-03-27,W,7,3,1,4,0,0,WSN,10.0,41231
2025-03-29,W,11,6,1,5,0,0,WSN,,38446
2025-03-30,L,1,5,0,-4,0,0,WSN,,28075
2025-03-31,W,6,1,1,5,1,0,COL,,44595
2025-04-02,W,5,1,1,4,1,0,COL,,37550
2025-04-03,W,3,1,1,2,1,0,COL,,34097
2025-04-04,W,3,2,1,1,1,0,LAD,,43024
2025-04-05,L,1,3,0,-2,1,0,LAD,,44404
2025-04-06,W,8,7,1,1,1,0,LAD,,44098
2025-04-08,L,5,7,0,-2,0,0,ATL,,33508
2025-04-09,W,4,3,1,1,0,0,ATL,,35323
2025-04-10,L-wo,2,4,0,-2,0,1,ATL,11.0,36630
2025-04-11,L,0,2,0,-2,0,0,STL,,32309
2025-04-12,W,4,1,1,3,0,0,STL,,30791
2025-04-13,L,0,7,0,-7,0,0,STL,,32509
2025-04-14,L,4,10,0,-6,1,0,SFG,,40636
2025-04-15,W,6,4,1,2,1,0,SFG,,38119
2025-04-16,L,4,11,0,-7,1,0,SFG,,38532
2025-04-17,W,6,4,1,2,1,0,SFG,,41321
2025-04-18,W,7,2,1,5,1,0,MIA,,44949
2025-04-19,W,11,10,1,1,1,0,MIA,,45045
2025-04-20,L,5,7,0,-2,1,0,MIA,10.0,45079
2025-04-21,L,4,5,0,-1,0,0,NYM,,35430
2025-04-22,L,1,5,0,-4,0,0,NYM,,36468
2025-04-23,L-wo,3,4,0,-1,0,1,NYM,10.0,36863
2025-04-25,L,0,4,0,-4,0,0,CHC,,32880
2025-04-26,W,10,4,1,6,0,0,CHC,,40068
2025-04-27,W,3,1,1,2,0,0,CHC,10.0,35761
2025-04-29,W-wo,7,6,1,1,1,1,WSN,,38387
2025-04-30,W,7,2,1,5,1,0,WSN,,37713
2025-05-01,L,2,4,0,-2,1,0,WSN,,37069
2025-05-02,W,3,2,1,1,1,0,ARI,,40133
2025-05-03,W,7,2,1,5,1,0,ARI,,42650
2025-05-04,L,9,11,0,-2,1,0,ARI,10.0,44010
2025-05-06,W,8,4,1,4,0,0,TBR,,10046
2025-05-07,W,7,0,1,7,0,0,TBR,,10046
2025-05-08,W,7,6,1,1,0,0,TBR,10.0,10046
2025-05-09,L,0,6,0,-6,0,0,CLE,,25328
2025-05-10,W,7,1,1,6,0,0,CLE,,34782
2025-05-11,W,3,0,1,3,0,0,CLE,,20304
2025-05-12,L,2,3,0,-1,1,0,STL,,42513
2025-05-14,W,2,1,1,1,1,0,STL,,40773
2025-05-14,L,7,14,0,-7,1,0,STL,,35150
2025-05-16,W,8,4,1,4,1,0,PIT,,44039
2025-05-17,W,5,2,1,3,1,0,PIT,,44164
2025-05-18,W,1,0,1,1,1,0,PIT,,44356
2025-05-19,W,9,3,1,6,0,0,COL,,23487
2025-05-20,W,7,4,1,3,0,0,COL,,24431
2025-05-21,W,9,5,1,4,0,0,COL,,23421
2025-05-22,W,2,0,1,2,0,0,COL,,23308
2025-05-23,W,4,3,1,1,0,0,ATH,,10052
2025-05-24,W,9,6,1,3,0,0,ATH,11.0,10090
2025-05-25,L,4,5,0,-1,0,0,ATH,,10068
2025-05-27,W,2,0,1,2,1,0,ATL,,40627
2025-05-29,W,5,4,1,1,1,0,ATL,,32314
2025-05-29,L,3,9,0,-6,1,0,ATL,,42739
2025-05-30,L,2,6,0,-4,1,0,MIL,,41546
2025-05-31,L,7,17,0,-10,1,0,MIL,,43773
2025-06-01,L,2,5,0,-3,1,0,MIL,,44076
2025-06-03,W,8,3,1,5,0,0,TOR,,32632
2025-06-04,L-wo,1,2,0,-1,0,1,TOR,,25716
2025-06-05,L,1,9,0,-8,0,0,TOR,,33728
2025-06-06,L-wo,4,5,0,-1,0,1,PIT,,23243
2025-06-07,L,1,2,0,-1,0,0,PIT,,32951
2025-06-08,L,1,2,0,-1,0,0,PIT,,25261
2025-06-09,W-wo,4,3,1,1,1,1,CHC,11.0,41226
2025-06-10,L,4,8,0,-4,1,0,CHC,,41220
2025-06-11,W,7,2,1,5,1,0,CHC,,42660
2025-06-13,W,8,0,1,8,1,0,TOR,,40596
2025-06-14,W,3,2,1,1,1,0,TOR,,43711
2025-06-15,W,11,4,1,7,1,0,TOR,,44681
2025-06-16,W,5,2,1,3,0,0,MIA,,9898
2025-06-17,L,3,8,0,-5,0,0,MIA,,8300
2025-06-18,W,4,2,1,2,0,0,MIA,,9570
2025-06-19,W,2,1,1,1,0,0,MIA,,10411
2025-06-20,W,10,2,1,8,1,0,NYM,,44432
2025-06-21,L,4,11,0,-7,1,0,NYM,,44687
2025-06-22,W,7,1,1,6,1,0,NYM,,42155
2025-06-24,L,0,1,0,-1,0,0,HOU,,31245
2025-06-25,L,0,2,0,-2,0,0,HOU,,28826
2025-06-26,L,1,2,0,-1,0,0,HOU,,37130
2025-06-27,W,13,0,1,13,0,0,ATL,,40753
2025-06-28,L,1,6,0,-5,0,0,ATL,,41751
