Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-03-27,L,2,12,0,-10,1,0,BAL,,40734.0
2025-03-28,W,8,2,1,6,1,0,BAL,,26289.0
2025-03-29,L,5,9,0,-4,1,0,BAL,,27005.0
2025-03-30,W,3,1,1,2,1,0,BAL,,21069.0
2025-03-31,W,5,2,1,3,1,0,WSN,,20137.0
2025-04-01,W,5,3,1,2,1,0,WSN,,21845.0
2025-04-02,W,4,2,1,2,1,0,WSN,,20104.0
2025-04-04,L,0,5,0,-5,0,0,NYM,,43945.0
2025-04-05,L-wo,2,3,0,-1,0,1,NYM,,37694.0
2025-04-06,L,1,2,0,-1,0,0,NYM,,40132.0
2025-04-07,W,6,2,1,4,0,0,BOS,,25788.0
2025-04-08,W,6,1,1,5,0,0,BOS,,25575.0
2025-04-09,W,2,1,1,1,0,0,BOS,11.0,29441.0
2025-04-10,L-wo,3,4,0,-1,0,1,BOS,10.0,25128.0
2025-04-12,L,4,5,0,-1,0,0,BAL,,22130.0
2025-04-13,W,7,6,1,1,0,0,BAL,10.0,27193.0
2025-04-14,L,4,8,0,-4,1,0,ATL,,21595.0
2025-04-15,W,6,3,1,3,1,0,ATL,,26979.0
2025-04-16,W,3,1,1,2,1,0,ATL,,25328.0
2025-04-18,W,3,1,1,2,1,0,SEA,,40263.0
2025-04-19,L,4,8,0,-4,1,0,SEA,12.0,36775.0
2025-04-20,L,3,8,0,-5,1,0,SEA,,25752.0
2025-04-21,L,0,7,0,-7,0,0,HOU,,28219.0
2025-04-22,L,1,5,0,-4,0,0,HOU,,29825.0
2025-04-23,L,1,3,0,-2,0,0,HOU,,25209.0
2025-04-25,W,4,2,1,2,0,0,NYY,,46081.0
2025-04-27,L,2,11,0,-9,0,0,NYY,,
2025-04-27,L,1,5,0,-4,0,0,NYY,,43824.0
2025-04-29,L,2,10,0,-8,1,0,BOS,,28045.0
2025-04-30,W-wo,7,6,1,1,1,1,BOS,10.0,26498.0
2025-05-01,W,4,2,1,2,1,0,BOS,,24198.0
2025-05-02,W,5,3,1,2,1,0,CLE,,26087.0
2025-05-03,L,3,5,0,-2,1,0,CLE,,40507.0
2025-05-04,L,4,5,0,-1,1,0,CLE,,30641.0
2025-05-06,L,3,8,0,-5,0,0,LAA,,25867.0
2025-05-07,L-wo,4,5,0,-1,0,1,LAA,,26646.0
2025-05-08,W,8,5,1,3,0,0,LAA,,26245.0
2025-05-09,W,6,3,1,3,0,0,SEA,,31564.0
2025-05-10,W,6,3,1,3,0,0,SEA,,31182.0
2025-05-11,W,9,1,1,8,0,0,SEA,,36823.0
2025-05-13,L,9,11,0,-2,1,0,TBR,,27717.0
2025-05-14,W,3,1,1,2,1,0,TBR,,22314.0
2025-05-15,L,3,8,0,-5,1,0,TBR,,22856.0
2025-05-16,L,4,5,0,-1,1,0,DET,,23146.0
2025-05-17,W-wo,2,1,1,1,1,1,DET,,40171.0
2025-05-18,L,2,3,0,-1,1,0,DET,,36064.0
2025-05-20,W,3,0,1,3,1,0,SDP,,23597.0
2025-05-21,W,14,0,1,14,1,0,SDP,,23266.0
2025-05-22,W-wo,7,6,1,1,1,1,SDP,11.0,33971.0
2025-05-23,L,1,3,0,-2,0,0,TBR,,10046.0
2025-05-24,L,1,3,0,-2,0,0,TBR,,10046.0
2025-05-25,L,0,13,0,-13,0,0,TBR,,10046.0
2025-05-26,W,2,1,1,1,0,0,TEX,,33766.0
2025-05-27,L,0,2,0,-2,0,0,TEX,,25818.0
2025-05-28,W,2,0,1,2,0,0,TEX,,20811.0
2025-05-29,W,12,0,1,12,1,0,ATH,,23853.0
2025-05-30,W,11,7,1,4,1,0,ATH,,36951.0
2025-05-31,W,8,7,1,1,1,0,ATH,,38017.0
2025-06-01,W,8,4,1,4,1,0,ATH,,30130.0
2025-06-03,L,3,8,0,-5,1,0,PHI,,32632.0
2025-06-04,W-wo,2,1,1,1,1,1,PHI,,25716.0
2025-06-05,W,9,1,1,8,1,0,PHI,,33728.0
2025-06-06,W,6,4,1,2,0,0,MIN,,26847.0
2025-06-07,W,5,4,1,1,0,0,MIN,,23476.0
2025-06-08,L,3,6,0,-3,0,0,MIN,,22078.0
2025-06-09,W,5,4,1,1,0,0,STL,10.0,30851.0
2025-06-10,W,10,9,1,1,0,0,STL,,29278.0
2025-06-11,W,5,2,1,3,0,0,STL,,28530.0
2025-06-13,L,0,8,0,-8,0,0,PHI,,40596.0
2025-06-14,L,2,3,0,-1,0,0,PHI,,43711.0
2025-06-15,L,4,11,0,-7,0,0,PHI,,44681.0
2025-06-17,W-wo,5,4,1,1,1,1,ARI,,38537.0
2025-06-18,W,8,1,1,7,1,0,ARI,,27635.0
2025-06-19,L,5,9,0,-4,1,0,ARI,,33978.0
2025-06-20,L,1,7,0,-6,1,0,CHW,,36121.0
2025-06-21,W,7,1,1,6,1,0,CHW,,41488.0
2025-06-22,L,2,4,0,-2,1,0,CHW,,38893.0
2025-06-24,W,10,6,1,4,0,0,CLE,,22525.0
2025-06-25,L-wo,4,5,0,-1,0,1,CLE,10.0,23849.0
2025-06-26,W,6,0,1,6,0,0,CLE,,26217.0
2025-06-27,W,9,0,1,9,0,0,BOS,,35719.0
2025-06-28,L,1,15,0,-14,0,0,BOS,,34927.0
2025-06-29,W,5,3,1,2,0,0,BOS,,35214.0
2025-06-30,W,5,4,1,1,1,0,NYY,,40619.0
2025-07-01,W,12,5,1,7,1,0,NYY,,41129.0
2025-07-02,W,11,9,1,2,1,0,NYY,,30985.0
2025-07-03,W,8,5,1,3,1,0,NYY,,36848.0
2025-07-04,W-wo,4,3,1,1,1,1,LAA,10.0,30119.0
2025-07-05,W-wo,4,3,1,1,1,1,LAA,11.0,37269.0
2025-07-06,W,3,2,1,1,1,0,LAA,,40114.0
2025-07-07,W,8,4,1,4,0,0,CHW,,13292.0
2025-07-08,W,6,1,1,5,0,0,CHW,7.0,13027.0
2025-07-09,L,1,2,0,-1,0,0,CHW,,11123.0
2025-07-11,W,7,6,1,1,0,0,ATH,,7950.0
2025-07-12,L,3,4,0,-1,0,0,ATH,,8738.0
2025-07-13,L,3,6,0,-3,0,0,ATH,,8884.0
2025-07-18,W,4,0,1,4,1,0,SFG,,41339.0
2025-07-19,W,6,3,1,3,1,0,SFG,,42015.0
2025-07-20,W,8,6,1,2,1,0,SFG,,41693.0
2025-07-21,W,4,1,1,3,1,0,NYY,,41788.0
2025-07-22,L,4,5,0,-1,1,0,NYY,,42326.0
2025-07-23,W,8,4,1,4,1,0,NYY,,42143.0
2025-07-24,W,11,4,1,7,0,0,DET,,30051.0
2025-07-25,W,6,2,1,4,0,0,DET,,37820.0
2025-07-26,W,6,1,1,5,0,0,DET,,40528.0
2025-07-27,L,4,10,0,-6,0,0,DET,,36053.0
2025-07-28,L,4,11,0,-7,0,0,BAL,,20176.0
