Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-03-27,L,3,7,0,-4,1,0,PHI,10.0,41231.0
2025-03-29,L,6,11,0,-5,1,0,PHI,,38446.0
2025-03-30,W,5,1,1,4,1,0,PHI,,28075.0
2025-03-31,L,2,5,0,-3,0,0,TOR,,20137.0
2025-04-01,L,3,5,0,-2,0,0,TOR,,21845.0
2025-04-02,L,2,4,0,-2,0,0,TOR,,20104.0
2025-04-04,L,4,6,0,-2,1,0,ARI,,18974.0
2025-04-05,W,4,3,1,1,1,0,ARI,,25916.0
2025-04-06,W,5,4,1,1,1,0,ARI,,14528.0
2025-04-07,W,6,4,1,2,1,0,LAD,,22546.0
2025-04-08,W,8,2,1,6,1,0,LAD,,24847.0
2025-04-09,L,5,6,0,-1,1,0,LAD,,21014.0
2025-04-11,W,7,4,1,3,0,0,MIA,,9094.0
2025-04-12,L,6,7,0,-1,0,0,MIA,,18549.0
2025-04-13,L,4,11,0,-7,0,0,MIA,,14032.0
2025-04-14,L,3,10,0,-7,0,0,PIT,,10402.0
2025-04-15,W,3,0,1,3,0,0,PIT,,8340.0
2025-04-16,L,1,6,0,-5,0,0,PIT,,8529.0
2025-04-17,L,0,1,0,-1,0,0,PIT,,12748.0
2025-04-19,W,12,11,1,1,0,0,COL,,24606.0
2025-04-20,W,3,2,1,1,0,0,COL,,24176.0
2025-04-20,L,1,3,0,-2,0,0,COL,,18703.0
2025-04-22,W,7,0,1,7,1,0,BAL,,29504.0
2025-04-23,W,4,3,1,1,1,0,BAL,,22246.0
2025-04-24,L,1,2,0,-1,1,0,BAL,,23058.0
2025-04-25,W-wo,5,4,1,1,1,1,NYM,,30277.0
2025-04-26,L,0,2,0,-2,1,0,NYM,,33867.0
2025-04-27,W-wo,8,7,1,1,1,1,NYM,,30763.0
2025-04-28,L,5,19,0,-14,1,0,NYM,,14011.0
2025-04-29,L-wo,6,7,0,-1,0,1,PHI,,38387.0
2025-04-30,L,2,7,0,-5,0,0,PHI,,37713.0
2025-05-01,W,4,2,1,2,0,0,PHI,,37069.0
2025-05-02,L,1,6,0,-5,0,0,CIN,,19509.0
2025-05-03,W,11,6,1,5,0,0,CIN,,26224.0
2025-05-04,W,4,1,1,3,0,0,CIN,,23494.0
2025-05-06,W,10,9,1,1,1,0,CLE,,
2025-05-06,L,1,9,0,-8,1,0,CLE,,21948.0
2025-05-07,L,6,8,0,-2,1,0,CLE,,19896.0
2025-05-09,L,0,10,0,-10,1,0,STL,,27849.0
2025-05-10,L,2,4,0,-2,1,0,STL,,37796.0
2025-05-11,L,1,6,0,-5,1,0,STL,,20585.0
2025-05-12,L-wo,3,4,0,-1,0,1,ATL,,32696.0
2025-05-13,L,2,5,0,-3,0,0,ATL,,32725.0
2025-05-14,W,5,4,1,1,0,0,ATL,,37134.0
2025-05-15,L,2,5,0,-3,0,0,ATL,,34074.0
2025-05-16,W,4,3,1,1,0,0,BAL,,21171.0
2025-05-17,W,10,6,1,4,0,0,BAL,,28208.0
2025-05-18,W,10,4,1,6,0,0,BAL,,37264.0
2025-05-20,W,5,3,1,2,1,0,ATL,,26517.0
2025-05-22,W-wo,8,7,1,1,1,1,ATL,10.0,16907.0
2025-05-23,L,0,4,0,-4,1,0,SFG,,19195.0
2025-05-24,W,3,0,1,3,1,0,SFG,,36873.0
2025-05-25,L,2,3,0,-1,1,0,SFG,,31581.0
2025-05-27,L,1,9,0,-8,0,0,SEA,,19861.0
2025-05-28,W,9,0,1,9,0,0,SEA,,19475.0
2025-05-29,W,9,3,1,6,0,0,SEA,10.0,19599.0
2025-05-30,W,9,7,1,2,0,0,ARI,,29435.0
2025-05-31,W,11,7,1,4,0,0,ARI,,29434.0
2025-06-01,L,1,3,0,-2,0,0,ARI,,29664.0
2025-06-03,L,3,8,0,-5,1,0,CHC,,27702.0
2025-06-04,W,2,0,1,2,1,0,CHC,,21965.0
2025-06-05,L,1,7,0,-6,1,0,CHC,,30402.0
2025-06-06,W,2,0,1,2,1,0,TEX,,27160.0
2025-06-07,L,0,5,0,-5,1,0,TEX,,22670.0
2025-06-08,L,2,4,0,-2,1,0,TEX,,24897.0
2025-06-10,L-wo,4,5,0,-1,0,1,NYM,10.0,38472.0
2025-06-11,L,0,5,0,-5,0,0,NYM,,40681.0
2025-06-12,L,3,4,0,-1,0,0,NYM,,39779.0
2025-06-13,L,9,11,0,-2,1,0,MIA,,31098.0
2025-06-14,L,3,4,0,-1,1,0,MIA,,21129.0
2025-06-15,L,1,3,0,-2,1,0,MIA,,28293.0
2025-06-16,L,4,6,0,-2,1,0,COL,,11370.0
2025-06-17,L,6,10,0,-4,1,0,COL,,17232.0
2025-06-18,L,1,3,0,-2,1,0,COL,,20366.0
2025-06-19,W-wo,4,3,1,1,1,1,COL,11.0,21850.0
2025-06-20,L,5,6,0,-1,0,0,LAD,,46558.0
2025-06-21,W,7,3,1,4,0,0,LAD,,54154.0
2025-06-22,L,7,13,0,-6,0,0,LAD,,48177.0
2025-06-23,W,10,6,1,4,0,0,SDP,,44074.0
2025-06-24,L,3,4,0,-1,0,0,SDP,,41229.0
2025-06-25,L,0,1,0,-1,0,0,SDP,,40532.0
2025-06-27,W,15,9,1,6,0,0,LAA,,34289.0
2025-06-28,L,2,8,0,-6,0,0,LAA,,39623.0
2025-06-29,W,7,4,1,3,0,0,LAA,11.0,33661.0
2025-07-02,L,2,11,0,-9,1,0,DET,,13994.0
2025-07-02,W,9,4,1,5,1,0,DET,,16095.0
2025-07-03,W,11,7,1,4,1,0,DET,,31599.0
