Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Mar 28,boxscore,COL,@,TBR,L-wo,2,3,,0-1,5,2.5,Fairbanks,Vodnik,,2:19,D,10046,.86,-,
2,Saturday Mar 29,boxscore,COL,@,TBR,W,2,1,,1-1,3,2.5,Peralta,Littell,Halvorsen,2:34,D,10046,.82,+,
3,Sunday Mar 30,boxscore,COL,@,TBR,L,4,6,,1-2,5,3.0,Bradley,Peralta,Fairbanks,2:41,D,10046,.89,-,
4,Monday Mar 31,boxscore,COL,@,PHI,L,1,6,,1-3,5,4.0,Ross,Alexander,,2:39,D,44595,.85,--,
5,Wednesday Apr 2,boxscore,COL,@,PHI,L,1,5,,1-4,5,5.5,Wheeler,Freeland,,2:32,N,37550,.83,---,
6,Thursday Apr 3,boxscore,COL,@,PHI,L,1,3,,1-5,5,6.0,Walker,Senzatela,Alvarado,2:43,D,34097,.74,----,
7,Friday Apr 4,boxscore,COL,,ATH,L,3,6,11,1-6,5,6.0,Murdock,Chivilli,Miller,3:21,D,48015,.67,-----,
8,Saturday Apr 5,boxscore,COL,,ATH,L,4,7,,1-7,5,7.0,Sears,Márquez,Miller,2:44,N,27599,.62,------,
9,Sunday Apr 6,boxscore,COL,,ATH,W,12,5,,2-7,5,6.0,Dollander,Estes,Vodnik,2:33,D,26207,.57,+,
10,Tuesday Apr 8,boxscore,COL,,MIL,L,1,7,,2-8,5,6.0,Peralta,Freeland,,2:36,N,18657,.65,-,
11,Wednesday Apr 9,boxscore,COL,,MIL,L,2,17,,2-9,5,7.0,Anderson,Senzatela,,3:06,N,18867,.64,--,
12,Thursday Apr 10,boxscore,COL,,MIL,W,7,2,,3-9,5,6.5,Alexander,Payamps,,2:37,D,18593,.54,+,
13,Friday Apr 11,boxscore,COL,@,SDP,L,0,8,,3-10,5,7.5,Pivetta,Márquez,,2:07,N,44089,.64,-,
14,Saturday Apr 12,boxscore,COL,@,SDP,L,0,2,,3-11,5,8.5,Hart,Dollander,Suarez,2:12,N,44066,.54,--,
15,Sunday Apr 13,boxscore,COL,@,SDP,L,0,6,,3-12,5,9.5,King,Freeland,,2:15,D,42706,.53,---,
16,Monday Apr 14,boxscore,COL,@,LAD,L,3,5,,3-13,5,10.5,May,Senzatela,Scott,2:49,N,52693,.46,----,
17,Tuesday Apr 15,boxscore,COL,@,LAD,L,2,6,,3-14,5,10.5,Dreyer,Feltner,,2:58,N,53198,.39,-----,
18,Wednesday Apr 16,boxscore,COL,@,LAD,L,7,8,,3-15,5,11.5,Casparius,Márquez,Scott,2:52,N,52143,.39,------,
19,Saturday Apr 19,boxscore,COL,,WSN,L,11,12,,3-16,5,11.0,Gore,Dollander,Finnegan,3:02,D,24606,.30,-------,
20,Sunday Apr 20 (1),boxscore,COL,,WSN,L,2,3,,3-17,5,11.5,Irvin,Freeland,Finnegan,2:20,D,24176,.28,--------,
21,Sunday Apr 20 (2),boxscore,COL,,WSN,W,3,1,,4-17,5,11.5,Senzatela,Lord,Kinley,2:29,N,18703,.23,+,
22,Tuesday Apr 22,boxscore,COL,@,KCR,L-wo,3,4,11,4-18,5,12.0,Lynch,Kinley,,2:53,N,14567,.24,-,
23,Thursday Apr 24 (1),boxscore,COL,@,KCR,L,4,7,,4-19,5,12.5,Zerpa,Márquez,Estévez,2:28,D,,.22,--,
24,Thursday Apr 24 (2),boxscore,COL,@,KCR,L,2,6,,4-20,5,12.5,Lorenzen,Dollander,,2:36,D,15601,.20,---,
25,Friday Apr 25,boxscore,COL,,CIN,L,7,8,,4-21,5,12.5,Ashcraft,Chivilli,Pagán,3:12,N,21743,.19,----,
26,Saturday Apr 26,boxscore,COL,,CIN,L,4,6,,4-22,5,13.0,Greene,Senzatela,Pagán,2:47,D,34030,.17,-----,
27,Sunday Apr 27,boxscore,COL,,CIN,L,1,8,,4-23,5,14.0,Lodolo,Blalock,,2:35,D,28408,.14,------,
28,Monday Apr 28,boxscore,COL,,ATL,L,3,6,,4-24,5,14.5,Elder,Feltner,Iglesias,2:37,N,18852,.10,-------,
29,Tuesday Apr 29,boxscore,COL,,ATL,L,2,8,,4-25,5,15.5,Smith-Shawver,Márquez,,2:20,N,19010,.10,--------,
30,Wednesday Apr 30,boxscore,COL,,ATL,W,2,1,,5-25,5,15.5,Dollander,Sale,Agnos,2:09,D,29661,.07,+,
31,Thursday May 1,boxscore,COL,@,SFG,W,4,3,,6-25,5,15.0,Chivilli,Rogers,Agnos,2:19,N,27198,.09,++,
32,Friday May 2,boxscore,COL,@,SFG,L,0,4,,6-26,5,16.0,Ray,Senzatela,,2:02,N,35036,.09,-,
33,Saturday May 3,boxscore,COL,@,SFG,L,3,6,,6-27,5,17.0,Rodríguez,Bird,Walker,2:21,D,40049,.08,--,
34,Sunday May 4,boxscore,COL,@,SFG,L,3,9,,6-28,5,17.0,Webb,Márquez,,2:29,D,41087,.06,---,
35,Wednesday May 7,boxscore,COL,,DET,L,6,8,10,6-29,5,18.0,Vest,Agnos,,3:13,N,18855,.05,----,
36,Thursday May 8 (1),boxscore,COL,,DET,L,2,10,,6-30,5,18.5,Mize,Freeland,,2:20,D,,.04,-----,
37,Thursday May 8 (2),boxscore,COL,,DET,L,1,11,,6-31,5,18.5,Montero,Gordon,,2:23,D,23030,.03,------,
38,Friday May 9,boxscore,COL,,SDP,L,9,13,,6-32,5,19.5,Vásquez,Senzatela,Suarez,3:11,N,30490,.03,-------,
39,Saturday May 10,boxscore,COL,,SDP,L,0,21,,6-33,5,19.5,Kolek,Blalock,,2:35,N,38423,.02,--------,
40,Sunday May 11,boxscore,COL,,SDP,W,9,3,,7-33,5,19.5,Márquez,Pivetta,,2:13,D,34422,.02,+,
41,Monday May 12,boxscore,COL,@,TEX,L,1,2,,7-34,5,20.0,Mahle,Dollander,Webb,2:09,N,23123,.02,-,
42,Tuesday May 13,boxscore,COL,@,TEX,L,1,4,,7-35,5,20.0,Leiter,Freeland,Armstrong,2:28,N,19924,.02,--,
43,Wednesday May 14,boxscore,COL,@,TEX,L,3,8,,7-36,5,21.0,Corbin,Senzatela,,2:46,N,18679,.01,---,
44,Friday May 16,boxscore,COL,@,ARI,L,0,8,,7-37,5,21.5,Burnes,Palmquist,,2:46,N,35204,.01,----,
45,Saturday May 17,boxscore,COL,@,ARI,W,14,12,,8-37,5,20.5,Bird,Thompson,Halvorsen,3:22,N,35129,.01,+,
46,Sunday May 18,boxscore,COL,@,ARI,L,0,1,,8-38,5,20.5,Kelly,Dollander,Miller,2:25,D,28888,.01,-,
47,Monday May 19,boxscore,COL,,PHI,L,3,9,,8-39,5,20.5,Ross,Halvorsen,,2:46,N,23487,.01,--,
48,Tuesday May 20,boxscore,COL,,PHI,L,4,7,,8-40,5,21.5,Luzardo,Senzatela,,2:41,N,24431,.00,---,
49,Wednesday May 21,boxscore,COL,,PHI,L,5,9,,8-41,5,22.5,Walker,Palmquist,,2:36,N,23421,.00,----,
50,Thursday May 22,boxscore,COL,,PHI,L,0,2,,8-42,5,23.0,Suarez,Márquez,Romano,2:19,D,23308,.00,-----,
51,Friday May 23,boxscore,COL,,NYY,W,3,2,,9-42,5,23.0,Gordon,Schmidt,Agnos,2:20,N,47211,.00,+,
52,Saturday May 24,boxscore,COL,,NYY,L,1,13,,9-43,5,23.0,Fried,Freeland,,2:41,D,43186,.00,-,
53,Sunday May 25,boxscore,COL,,NYY,L,4,5,,9-44,5,23.0,Leiter,Senzatela,Weaver,2:53,D,38379,.00,--,
54,Monday May 26,boxscore,COL,@,CHC,L,1,3,,9-45,5,24.0,Taillon,Palmquist,Palencia,2:26,D,40171,.00,---,
55,Tuesday May 27,boxscore,COL,@,CHC,L-wo,3,4,11,9-46,5,25.0,Flexen,Kinley,,3:00,N,33099,.00,----,
56,Wednesday May 28,boxscore,COL,@,CHC,L,1,2,,9-47,5,25.0,Boyd,Gordon,Palencia,2:20,N,33748,.00,-----,
57,Friday May 30,boxscore,COL,@,NYM,L,2,4,,9-48,5,26.0,Peterson,Freeland,Díaz,2:17,N,41270,.00,------,
58,Saturday May 31,boxscore,COL,@,NYM,L,2,8,,9-49,5,27.0,Senga,Senzatela,,2:25,D,41681,.00,-------,
59,Sunday Jun 1,boxscore,COL,@,NYM,L,3,5,,9-50,5,27.0,Holmes,Palmquist,Díaz,2:13,D,43224,.00,--------,
60,Monday Jun 2,boxscore,COL,@,MIA,W,6,4,,10-50,5,26.0,Márquez,Meyer,Agnos,2:35,N,5894,.00,+,
61,Tuesday Jun 3,boxscore,COL,@,MIA,W,3,2,,11-50,5,26.0,Vodnik,Bender,Halvorsen,2:25,N,7583,.00,++,
62,Wednesday Jun 4,boxscore,COL,@,MIA,W,3,2,,12-50,5,25.0,Freeland,Quantrill,Kinley,2:28,D,6261,.00,+++,
63,Friday Jun 6,boxscore,COL,,NYM,L,2,4,,12-51,5,25.5,Stanek,Agnos,Díaz,3:07,N,34890,.00,-,
64,Saturday Jun 7,boxscore,COL,,NYM,L,1,8,,12-52,5,25.5,Holmes,Márquez,,2:38,N,38279,.00,--,
65,Sunday Jun 8,boxscore,COL,,NYM,L,5,13,,12-53,5,26.5,Megill,Dollander,Blackburn,3:09,D,40548,.00,---,
66,Tuesday Jun 10,boxscore,COL,,SFG,L,5,6,,12-54,5,27.0,Miller,Agnos,Doval,3:05,N,24553,.00,----,
67,Wednesday Jun 11,boxscore,COL,,SFG,L,7,10,,12-55,5,28.0,Beck,Kinley,,3:05,N,23532,.00,-----,
68,Thursday Jun 12,boxscore,COL,,SFG,W-wo,8,7,,13-55,5,27.5,Halvorsen,Rodríguez,,3:00,D,28168,.00,+,
69,Friday Jun 13,boxscore,COL,@,ATL,L,4,12,,13-56,5,27.5,De Los Santos,Vodnik,,2:50,N,39303,.00,-,
70,Saturday Jun 14,boxscore,COL,@,ATL,L,1,4,,13-57,5,28.5,Strider,Dollander,,2:10,D,38515,.00,--,
71,Sunday Jun 15,boxscore,COL,@,ATL,W,10,1,,14-57,5,28.5,Bird,Holmes,,2:42,D,39405,.00,+,
72,Monday Jun 16,boxscore,COL,@,WSN,W,6,4,,15-57,5,28.5,Vodnik,Finnegan,Halvorsen,2:22,N,11370,.00,++,
73,Tuesday Jun 17,boxscore,COL,@,WSN,W,10,6,,16-57,5,28.5,Senzatela,Soroka,,2:57,N,17232,.00,+++,
74,Wednesday Jun 18,boxscore,COL,@,WSN,W,3,1,,17-57,5,28.5,Márquez,Parker,Halvorsen,2:25,N,20366,.00,++++,
75,Thursday Jun 19,boxscore,COL,@,WSN,L-wo,3,4,11,17-58,5,28.5,Loutos,Halvorsen,,2:51,D,21850,.00,-,
76,Friday Jun 20,boxscore,COL,,ARI,L,8,14,,17-59,5,29.5,Gallen,Gomber,,2:53,N,31851,.00,--,
77,Saturday Jun 21,boxscore,COL,,ARI,L,3,5,,17-60,5,29.5,Kelly,Herget,Miller,2:30,N,34076,.00,---,
