Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 27,boxscore,MIL,@,NYY,L,2,4,,0-1,2,1.0,Rodón,Peralta,Williams,3:08,D,46208,.89,-,
2,Saturday Mar 29,boxscore,MIL,@,NYY,L,9,20,,0-2,5,2.0,Gómez,Cortés,,3:05,D,46683,.86,--,
3,Sunday Mar 30,boxscore,MIL,@,NYY,L,3,12,,0-3,5,3.0,Hill,Civale,,2:41,D,41803,.79,---,
4,Monday Mar 31,boxscore,MIL,,KCR,L,1,11,,0-4,5,3.0,Bubic,Rodríguez,,2:55,D,41922,.77,----,
5,Tuesday Apr 1,boxscore,MIL,,KCR,W,5,0,,1-4,4,2.0,Uribe,Lorenzen,,2:30,N,18008,.74,+,
6,Wednesday Apr 2,boxscore,MIL,,KCR,W-wo,3,2,11,2-4,3,2.0,Koenig,Long,,3:10,D,19112,.76,++,
7,Thursday Apr 3,boxscore,MIL,,CIN,W,1,0,,3-4,3,1.5,Cortés,Lodolo,Payamps,2:09,N,20113,.88,+++,
8,Friday Apr 4,boxscore,MIL,,CIN,W,3,2,,4-4,3,1.0,Alexander,Martinez,Megill,2:24,N,23004,.89,++++,
9,Saturday Apr 5,boxscore,MIL,,CIN,L,7,11,,4-5,3,2.0,Singer,Rodríguez,,2:40,N,32772,.94,-,
10,Sunday Apr 6,boxscore,MIL,,CIN,W,8,2,,5-5,2,1.0,Patrick,Spiers,,2:36,D,25778,.92,+,
11,Tuesday Apr 8,boxscore,MIL,@,COL,W,7,1,,6-5,2,1.5,Peralta,Freeland,,2:36,N,18657,.93,++,
12,Wednesday Apr 9,boxscore,MIL,@,COL,W,17,2,,7-5,2,0.5,Anderson,Senzatela,,3:06,N,18867,.97,+++,
13,Thursday Apr 10,boxscore,MIL,@,COL,L,2,7,,7-6,2,1.0,Alexander,Payamps,,2:37,D,18593,1.02,-,
14,Friday Apr 11,boxscore,MIL,@,ARI,W,7,0,,8-6,1,Tied,Quintana,Rodríguez,,2:28,N,32026,.98,+,
15,Saturday Apr 12,boxscore,MIL,@,ARI,L-wo,4,5,,8-7,2,1.0,Nelson,Megill,,2:42,N,34853,1.06,-,
16,Sunday Apr 13,boxscore,MIL,@,ARI,L,2,5,,8-8,2,2.0,Beeks,Hudson,Puk,2:50,D,30057,1.04,--,
17,Monday Apr 14,boxscore,MIL,,DET,L,1,9,,8-9,4,2.0,Skubal,Alexander,,2:23,N,20892,.89,---,
18,Tuesday Apr 15,boxscore,MIL,,DET,W,5,0,,9-9,3,2.0,Priester,Flaherty,,2:36,N,18396,.83,+,
19,Wednesday Apr 16,boxscore,MIL,,DET,W,5,1,,10-9,2,1.0,Quintana,Montero,,2:21,D,22360,.89,++,
20,Friday Apr 18,boxscore,MIL,,ATH,W,5,3,,11-9,2,1.0,Peralta,Ginn,Megill,2:57,N,25008,.95,+++,
21,Saturday Apr 19,boxscore,MIL,,ATH,L,1,3,,11-10,2,2.0,Severino,Patrick,Miller,1:59,N,30659,.97,-,
22,Sunday Apr 20,boxscore,MIL,,ATH,W,14,1,,12-10,2,1.0,Henderson,Springs,Alexander,2:51,D,21512,.95,+,
23,Monday Apr 21,boxscore,MIL,@,SFG,L,2,5,,12-11,2,1.5,Birdsong,Anderson,Doval,2:30,N,31758,1.03,-,
24,Tuesday Apr 22,boxscore,MIL,@,SFG,W,11,3,,13-11,2,1.5,Quintana,Hicks,,2:48,N,28573,1.00,+,
25,Wednesday Apr 23,boxscore,MIL,@,SFG,L,2,4,,13-12,2,2.5,Webb,Peralta,Doval,2:34,N,29049,1.07,-,
26,Thursday Apr 24,boxscore,MIL,@,SFG,L,5,6,,13-13,2,3.0,Rogers,Alexander,Doval,2:50,D,28592,1.01,--,
27,Friday Apr 25,boxscore,MIL,@,STL,L,2,3,,13-14,3,4.0,Liberatore,Patrick,Helsley,2:29,N,24437,1.00,---,
28,Saturday Apr 26,boxscore,MIL,@,STL,L-wo,5,6,,13-15,3,4.0,Helsley,Megill,,2:47,D,35316,.93,----,
29,Sunday Apr 27,boxscore,MIL,@,STL,W,7,1,,14-15,3,3.0,Quintana,Fedde,,2:42,D,32403,.89,+,
30,Tuesday Apr 29,boxscore,MIL,@,CHW,W,7,2,,15-15,3,3.0,Peralta,Wilson,,2:49,N,14904,.86,++,
31,Wednesday Apr 30,boxscore,MIL,@,CHW,W,6,4,,16-15,2,2.0,Koenig,Booser,Megill,2:52,N,10253,.93,+++,
32,Thursday May 1,boxscore,MIL,@,CHW,L,0,8,,16-16,3,3.0,Burke,Patrick,,2:18,D,11917,.95,-,
33,Friday May 2,boxscore,MIL,,CHC,L,0,10,,16-17,3,4.0,Brown,Alexander,Flexen,2:34,N,34559,1.06,--,
34,Saturday May 3,boxscore,MIL,,CHC,L,2,6,,16-18,3,5.0,Taillon,Quintana,,2:17,N,37335,.97,---,
35,Sunday May 4,boxscore,MIL,,CHC,W,4,0,,17-18,3,4.0,Peralta,Imanaga,,2:28,D,37360,.93,+,
36,Monday May 5,boxscore,MIL,,HOU,W,5,1,,18-18,2,4.0,Myers,Blanco,,2:29,N,20306,.84,++,
37,Tuesday May 6,boxscore,MIL,,HOU,W,4,3,,19-18,2,3.0,Patrick,Wesneski,Megill,2:33,N,21075,.89,+++,
38,Wednesday May 7,boxscore,MIL,,HOU,L,1,9,,19-19,2,3.0,Valdez,Priester,,2:34,D,26922,.95,-,
39,Friday May 9,boxscore,MIL,@,TBR,L,3,4,,19-20,3,3.0,Sulser,Koenig,Orze,2:43,N,10046,.90,--,
40,Saturday May 10,boxscore,MIL,@,TBR,L-wo,2,3,,19-21,4,4.0,Fairbanks,Anderson,,2:23,D,10046,.84,---,
41,Sunday May 11,boxscore,MIL,@,TBR,W,4,2,,20-21,3,3.0,Alexander,Rasmussen,Megill,2:28,D,10046,.78,+,
42,Monday May 12,boxscore,MIL,@,CLE,L,0,5,,20-22,3,4.0,Junis,Peralta,,2:43,N,17359,.83,-,
43,Tuesday May 13,boxscore,MIL,@,CLE,L,0,2,,20-23,3,5.0,Allen,Priester,Clase,2:11,N,16153,.76,--,
44,Wednesday May 14,boxscore,MIL,@,CLE,W,9,5,,21-23,3,4.0,Henderson,Herrin,,2:57,D,25063,.74,+,
45,Friday May 16,boxscore,MIL,,MIN,L,0,3,,21-24,4,5.0,Ryan,Patrick,Sands,2:32,N,33070,.78,-,
46,Saturday May 17,boxscore,MIL,,MIN,L,0,7,,21-25,4,6.0,López,Myers,,2:50,N,40267,.70,--,
47,Sunday May 18,boxscore,MIL,,MIN,W,5,2,,22-25,4,6.0,Peralta,Matthews,Megill,2:21,D,30018,.61,+,
48,Monday May 19,boxscore,MIL,,BAL,W,5,4,,23-25,4,5.0,Uribe,Cano,Megill,2:38,N,22319,.69,++,
49,Tuesday May 20,boxscore,MIL,,BAL,W,5,2,,24-25,4,5.0,Henderson,McDermott,Uribe,2:51,N,22778,.75,+++,
50,Wednesday May 21,boxscore,MIL,,BAL,L,4,8,11,24-26,4,6.0,Baker,Alexander,,3:28,D,30554,.80,-,
51,Thursday May 22,boxscore,MIL,@,PIT,W,8,5,,25-26,3,5.5,Rodriguez,Burrows,Megill,2:42,N,10114,.71,+,
52,Friday May 23,boxscore,MIL,@,PIT,L-wo,5,6,10,25-27,3,6.5,Borucki,Uribe,,3:35,N,24646,.82,-,
53,Saturday May 24,boxscore,MIL,@,PIT,L,1,2,,25-28,4,6.5,Shugart,Alexander,Bednar,2:24,D,24651,.71,--,
54,Sunday May 25,boxscore,MIL,@,PIT,W,6,5,,26-28,3,6.5,Koenig,Borucki,Megill,3:05,D,18920,.71,+,
55,Monday May 26,boxscore,MIL,,BOS,W,3,2,,27-28,3,6.5,Hall,Crochet,Megill,2:43,D,40181,.69,++,
56,Tuesday May 27,boxscore,MIL,,BOS,W-wo,5,1,10,28-28,3,6.5,Zastryzny,Hendriks,,3:01,N,26489,.75,+++,
57,Wednesday May 28,boxscore,MIL,,BOS,W-wo,6,5,10,29-28,3,6.5,Alexander,Slaten,,3:14,D,24603,.76,++++,
58,Friday May 30,boxscore,MIL,@,PHI,W,6,2,,30-28,3,5.5,Priester,Walker,,2:29,N,41546,.88,+++++,
59,Saturday May 31,boxscore,MIL,@,PHI,W,17,7,,31-28,3,5.5,Patrick,Luzardo,,2:42,D,43773,1.00,++++++,
60,Sunday Jun 1,boxscore,MIL,@,PHI,W,5,2,,32-28,3,5.5,Mears,Kerkering,Megill,2:36,D,44076,1.02,+++++++,
61,Monday Jun 2,boxscore,MIL,@,CIN,W,3,2,,33-28,3,5.0,Civale,Singer,Megill,2:30,N,18711,1.06,++++++++,
