Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 27,boxscore,MIN,@,STL,L,3,5,,0-1,3,1.0,Gray,López,Helsley,2:41,D,47395,.89,-,
2,Saturday Mar 29,boxscore,MIN,@,STL,L,1,5,,0-2,4,1.0,Fedde,Alcala,,2:37,D,30712,.85,--,
3,Sunday Mar 30,boxscore,MIN,@,STL,L,2,9,,0-3,4,2.0,Pallante,Ober,Matz,2:20,D,26923,.78,---,
4,Monday Mar 31,boxscore,MIN,@,CHW,L,0,9,,0-4,5,2.0,Pérez,Paddack,,2:28,D,10423,.85,----,
5,Tuesday Apr 1,boxscore,MIN,@,CHW,W,8,3,,1-4,5,1.0,Varland,Murfee,,2:54,N,12089,.83,+,
6,Wednesday Apr 2,boxscore,MIN,@,CHW,W,6,1,,2-4,1,Tied,López,Burke,,2:17,D,10193,.86,++,
7,Thursday Apr 3,boxscore,MIN,,HOU,L,2,5,,2-5,5,0.5,Brown,Ryan,Hader,2:31,D,36783,.90,-,
8,Saturday Apr 5,boxscore,MIN,,HOU,W,6,1,,3-5,2,1.0,Sands,Arrighetti,,2:43,D,16082,.88,+,
9,Sunday Apr 6,boxscore,MIN,,HOU,L,7,9,10,3-6,3,2.0,Hader,Varland,,3:26,D,14638,.91,-,
10,Monday Apr 7,boxscore,MIN,@,KCR,L,2,4,,3-7,4,3.0,Lorenzen,Woods Richardson,Estévez,2:33,N,12041,.92,--,
11,Tuesday Apr 8,boxscore,MIN,@,KCR,L,1,2,,3-8,4,4.0,Schreiber,Jax,Lynch,2:33,N,13008,.87,---,
12,Wednesday Apr 9,boxscore,MIN,@,KCR,W,4,0,,4-8,4,3.0,Ryan,Lugo,,2:18,N,13156,.78,+,
13,Thursday Apr 10,boxscore,MIN,@,KCR,L,2,3,,4-9,4,3.5,Lynch,Sands,Estévez,2:24,D,14730,.92,-,
14,Friday Apr 11,boxscore,MIN,,DET,L,6,7,,4-10,4,4.5,Vest,Alcala,Kahnle,3:21,N,12900,.83,--,
15,Saturday Apr 12,boxscore,MIN,,DET,L,0,4,,4-11,5,5.5,Jobe,Paddack,,2:25,D,23391,.79,---,
16,Sunday Apr 13,boxscore,MIN,,DET,W,5,1,,5-11,4,4.5,Woods Richardson,Mize,,2:15,D,15693,.73,+,
17,Monday Apr 14,boxscore,MIN,,NYM,L,1,5,,5-12,4,5.5,Holmes,Topa,,2:45,N,10240,.69,-,
18,Tuesday Apr 15,boxscore,MIN,,NYM,W,6,3,,6-12,4,4.5,Ober,Megill,Duran,2:41,N,12507,.62,+,
19,Wednesday Apr 16,boxscore,MIN,,NYM,W-wo,4,3,10,7-12,4,3.5,Sands,Garrett,,3:00,D,19721,.67,++,
20,Friday Apr 18,boxscore,MIN,@,ATL,L,4,6,,7-13,4,5.0,De Los Santos,Jax,Iglesias,2:43,N,39142,.73,-,
21,Saturday Apr 19,boxscore,MIN,@,ATL,L,3,4,,7-14,4,6.0,Johnson,Woods Richardson,Iglesias,3:03,N,39278,.69,--,
22,Sunday Apr 20,boxscore,MIN,@,ATL,L,2,6,,7-15,4,6.0,Holmes,Ryan,,2:21,D,31889,.65,---,
23,Tuesday Apr 22,boxscore,MIN,,CHW,W,4,2,,8-15,4,6.0,Ober,Martin,Duran,2:31,N,11828,.60,+,
24,Wednesday Apr 23,boxscore,MIN,,CHW,W,6,3,,9-15,4,5.5,Topa,Leasure,Coulombe,2:55,N,12407,.67,++,
25,Thursday Apr 24,boxscore,MIN,,CHW,L,0,3,7,9-16,4,6.0,Smith,Paddack,Eisert,2:29,D,12414,.67,-,
26,Friday Apr 25,boxscore,MIN,,LAA,W,11,4,,10-16,4,5.5,López,Hendricks,,2:47,N,14332,.64,+,
