Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 27,boxscore,NYY,,MIL,W,4,2,,1-0,1,Tied,Rodón,Peralta,Williams,3:08,D,46208,.90,+,
2,Saturday Mar 29,boxscore,NYY,,MIL,W,20,9,,2-0,1,up 0.5,Gómez,Cortés,,3:05,D,46683,.91,++,
3,Sunday Mar 30,boxscore,NYY,,MIL,W,12,3,,3-0,1,up 1.0,Hill,Civale,,2:41,D,41803,.96,+++,
4,Tuesday Apr 1,boxscore,NYY,,ARI,L,5,7,,3-1,2,0.5,Miller,Leiter,Puk,2:53,N,37482,1.00,-,
5,Wednesday Apr 2,boxscore,NYY,,ARI,L,3,4,,3-2,3,1.0,Gallen,Rodón,Puk,2:34,N,40558,.96,--,
6,Thursday Apr 3,boxscore,NYY,,ARI,W,9,7,,4-2,2,0.5,Carrasco,Kelly,Weaver,3:00,N,43382,.92,+,
7,Friday Apr 4,boxscore,NYY,@,PIT,W,9,4,,5-2,1,up 0.5,Fried,Keller,,3:18,D,36893,.97,++,
8,Saturday Apr 5,boxscore,NYY,@,PIT,W,10,4,,6-2,1,up 1.5,Leiter,Falter,,2:44,D,30570,.98,+++,
9,Sunday Apr 6,boxscore,NYY,@,PIT,L-wo,4,5,11,6-3,1,up 0.5,Wentz,Williams,,3:21,D,22898,1.07,-,
10,Monday Apr 7,boxscore,NYY,@,DET,L,2,6,,6-4,1,up 0.5,Mize,Rodón,,2:24,D,14132,1.08,--,
11,Tuesday Apr 8,boxscore,NYY,@,DET,L,0,5,,6-5,2,0.5,Skubal,Carrasco,Hurter,2:04,D,14156,1.07,---,
12,Wednesday Apr 9,boxscore,NYY,@,DET,W,4,3,,7-5,2,0.5,Fried,Holton,Leiter,2:48,D,14616,1.04,+,
13,Friday Apr 11,boxscore,NYY,,SFG,L,1,9,6,7-6,2,0.5,Ray,Stroman,,2:33,N,35286,1.03,-,
14,Saturday Apr 12,boxscore,NYY,,SFG,W,8,4,,8-6,1,up 0.5,Warren,Hicks,,3:12,D,35455,1.02,+,
15,Sunday Apr 13,boxscore,NYY,,SFG,L,4,5,,8-7,2,0.5,Webb,Rodón,Walker,2:37,D,36449,1.02,-,
16,Monday Apr 14,boxscore,NYY,,KCR,W,4,1,,9-7,1,up 0.5,Carrasco,Lugo,Williams,2:23,N,42648,1.03,+,
17,Tuesday Apr 15,boxscore,NYY,,KCR,W,4,2,,10-7,1,up 0.5,Fried,Wacha,Williams,2:29,N,43601,1.05,++,
