Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 27,boxscore,PHI,@,WSN,W,7,3,10,1-0,1,Tied,Alvarado,Poche,,3:09,D,41231,.99,+,
2,Saturday Mar 29,boxscore,PHI,@,WSN,W,11,6,,2-0,1,up 0.5,Luzardo,Poche,,3:13,D,38446,1.04,++,
3,Sunday Mar 30,boxscore,PHI,@,WSN,L,1,5,,2-1,2,0.5,Parker,Nola,Finnegan,2:33,D,28075,1.06,-,
4,Monday Mar 31,boxscore,PHI,,COL,W,6,1,,3-1,1,up 0.5,Ross,Alexander,,2:39,D,44595,.98,+,
5,Wednesday Apr 2,boxscore,PHI,,COL,W,5,1,,4-1,1,up 1.0,Wheeler,Freeland,,2:32,N,37550,1.01,++,
6,Thursday Apr 3,boxscore,PHI,,COL,W,3,1,,5-1,1,up 1.5,Walker,Senzatela,Alvarado,2:43,D,34097,1.02,+++,
7,Friday Apr 4,boxscore,PHI,,LAD,W,3,2,,6-1,1,up 2.0,Luzardo,Yamamoto,Romano,2:29,N,43024,1.07,++++,
8,Saturday Apr 5,boxscore,PHI,,LAD,L,1,3,,6-2,1,up 1.0,Banda,Nola,Scott,2:26,D,44404,1.11,-,
9,Sunday Apr 6,boxscore,PHI,,LAD,W,8,7,,7-2,1,up 1.0,Kerkering,Treinen,Alvarado,2:56,D,44098,1.11,+,
10,Tuesday Apr 8,boxscore,PHI,@,ATL,L,5,7,,7-3,2,0.5,Hernández,Kerkering,Iglesias,2:48,N,33508,1.11,-,
11,Wednesday Apr 9,boxscore,PHI,@,ATL,W,4,3,,8-3,1,up 0.5,Alvarado,Iglesias,,3:07,N,35323,1.13,+,
12,Thursday Apr 10,boxscore,PHI,@,ATL,L-wo,2,4,11,8-4,1,Tied,Suarez,Ross,,2:53,N,36630,1.11,-,
13,Friday Apr 11,boxscore,PHI,@,STL,L,0,2,,8-5,2,1.0,Pallante,Nola,Helsley,2:17,N,32309,1.10,--,
14,Saturday Apr 12,boxscore,PHI,@,STL,W,4,1,,9-5,1,Tied,Sánchez,Mikolas,Alvarado,2:23,D,30791,1.07,+,
15,Sunday Apr 13,boxscore,PHI,@,STL,L,0,7,,9-6,2,1.0,Liberatore,Wheeler,,2:12,D,32509,1.13,-,
16,Monday Apr 14,boxscore,PHI,,SFG,L,4,10,,9-7,2,2.0,Roupp,Walker,,2:41,N,40636,1.09,--,
17,Tuesday Apr 15,boxscore,PHI,,SFG,W,6,4,,10-7,2,1.0,Kerkering,Verlander,Strahm,2:36,N,38119,1.03,+,
18,Wednesday Apr 16,boxscore,PHI,,SFG,L,4,11,,10-8,2,1.0,Trivino,Nola,,3:01,N,38532,1.12,-,
19,Thursday Apr 17,boxscore,PHI,,SFG,W,6,4,,11-8,2,1.0,Sánchez,Hicks,Alvarado,2:21,D,41321,1.03,+,
20,Friday Apr 18,boxscore,PHI,,MIA,W,7,2,,12-8,2,1.0,Wheeler,Alcantara,,2:33,N,44949,1.17,++,
21,Saturday Apr 19,boxscore,PHI,,MIA,W,11,10,,13-8,2,1.0,Strahm,Quantrill,Alvarado,3:15,D,45045,1.14,+++,
22,Sunday Apr 20,boxscore,PHI,,MIA,L,5,7,10,13-9,2,2.0,Faucher,Strahm,Tinoco,3:02,D,45079,1.13,-,
23,Monday Apr 21,boxscore,PHI,@,NYM,L,4,5,,13-10,2,3.0,Megill,Nola,Díaz,2:40,N,35430,1.25,--,
24,Tuesday Apr 22,boxscore,PHI,@,NYM,L,1,5,,13-11,2,4.0,Canning,Sánchez,,3:02,N,36468,1.19,---,
25,Wednesday Apr 23,boxscore,PHI,@,NYM,L-wo,3,4,10,13-12,2,5.0,Kranick,Romano,,3:14,D,36863,1.15,----,
