Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 27,boxscore,TOR,,BAL,L,2,12,,0-1,5,1.0,Eflin,Berríos,,2:49,D,40734,.99,-,
2,Friday Mar 28,boxscore,TOR,,BAL,W,8,2,,1-1,3,0.5,Gausman,Morton,,3:01,N,26289,.96,+,
3,Saturday Mar 29,boxscore,TOR,,BAL,L,5,9,,1-2,4,1.5,Kremer,Lovelady,,2:48,D,27005,1.01,-,
4,Sunday Mar 30,boxscore,TOR,,BAL,W,3,1,,2-2,3,1.5,Bassitt,Sugano,Hoffman,2:42,D,21069,.92,+,
5,Monday Mar 31,boxscore,TOR,,WSN,W,5,2,,3-2,3,1.0,Francis,Soroka,García,2:41,N,20137,.88,++,
6,Tuesday Apr 1,boxscore,TOR,,WSN,W,5,3,,4-2,2,0.5,Green,Ferrer,Hoffman,2:37,N,21845,.93,+++,
7,Wednesday Apr 2,boxscore,TOR,,WSN,W,4,2,,5-2,1,up 0.5,Lucas,Gore,Hoffman,2:27,D,20104,.96,++++,
8,Friday Apr 4,boxscore,TOR,@,NYM,L,0,5,,5-3,2,0.5,Megill,Gausman,,2:38,D,43945,.99,-,
9,Saturday Apr 5,boxscore,TOR,@,NYM,L-wo,2,3,,5-4,2,1.5,Díaz,Sandlin,,3:11,N,37694,.99,--,
10,Sunday Apr 6,boxscore,TOR,@,NYM,L,1,2,,5-5,3,1.5,Kranick,Francis,Díaz,2:32,D,40132,.95,---,
11,Monday Apr 7,boxscore,TOR,@,BOS,W,6,2,,6-5,2,0.5,Berríos,Fitts,,2:54,N,25788,1.01,+,
12,Tuesday Apr 8,boxscore,TOR,@,BOS,W,6,1,,7-5,1,up 0.5,Lucas,Crochet,,2:46,N,25575,1.11,++,
13,Wednesday Apr 9,boxscore,TOR,@,BOS,W,2,1,11,8-5,1,up 0.5,Hoffman,Winckowski,Sandlin,2:31,N,29441,1.15,+++,
14,Thursday Apr 10,boxscore,TOR,@,BOS,L-wo,3,4,10,8-6,1,Tied,Bernardino,Sandlin,,3:11,D,25128,1.17,-,
15,Saturday Apr 12,boxscore,TOR,@,BAL,L,4,5,,8-7,2,0.5,Baker,Francis,Bautista,2:37,D,22130,1.18,--,
16,Sunday Apr 13,boxscore,TOR,@,BAL,W,7,6,10,9-7,1,up 0.5,Hoffman,Bowman,,3:24,D,27193,1.14,+,
17,Monday Apr 14,boxscore,TOR,,ATL,L,4,8,,9-8,2,0.5,Holmes,Lucas,,2:16,N,21595,1.06,-,
18,Tuesday Apr 15,boxscore,TOR,,ATL,W,6,3,,10-8,2,0.5,Gausman,Schwellenbach,,2:33,N,26979,1.04,+,
19,Wednesday Apr 16,boxscore,TOR,,ATL,W,3,1,,11-8,2,0.5,Bassitt,Strider,Hoffman,2:43,D,25328,1.05,++,
20,Friday Apr 18,boxscore,TOR,,SEA,W,3,1,,12-8,2,1.0,Francis,Woo,Hoffman,2:20,N,40263,1.11,+++,
21,Saturday Apr 19,boxscore,TOR,,SEA,L,4,8,12,12-9,2,1.0,Muñoz,Barnes,,3:51,D,36775,1.16,-,
22,Sunday Apr 20,boxscore,TOR,,SEA,L,3,8,,12-10,2,2.0,Castillo,Lucas,,2:56,D,25752,1.14,--,
23,Monday Apr 21,boxscore,TOR,@,HOU,L,0,7,,12-11,3,2.0,Brown,Gausman,,2:21,N,28219,1.08,---,
24,Tuesday Apr 22,boxscore,TOR,@,HOU,L,1,5,,12-12,3,2.0,Blanco,Bassitt,,2:25,N,29825,1.08,----,
25,Wednesday Apr 23,boxscore,TOR,@,HOU,L,1,3,,12-13,3,3.0,Gusto,Francis,Hader,2:34,N,25209,1.05,-----,
26,Friday Apr 25,boxscore,TOR,@,NYY,W,4,2,,13-13,3,2.0,Fluharty,Williams,Hoffman,2:50,N,46081,1.10,+,
27,Sunday Apr 27 (1),boxscore,TOR,@,NYY,L,2,11,,13-14,4,4.0,Fried,Gausman,,3:01,D,,1.16,-,
28,Sunday Apr 27 (2),boxscore,TOR,@,NYY,L,1,5,,13-15,4,4.0,Hill,Bassitt,,2:32,D,43824,1.08,--,
29,Tuesday Apr 29,boxscore,TOR,,BOS,L,2,10,,13-16,4,4.5,Crochet,Francis,,2:29,N,28045,1.03,---,
30,Wednesday Apr 30,boxscore,TOR,,BOS,W-wo,7,6,10,14-16,3,3.5,Hoffman,Slaten,,2:56,N,26498,.92,+,
31,Thursday May 1,boxscore,TOR,,BOS,W,4,2,,15-16,3,3.0,Fluharty,Slaten,García,2:08,N,24198,.98,++,
32,Friday May 2,boxscore,TOR,,CLE,W,5,3,,16-16,3,3.0,Little,Junis,Hoffman,2:40,N,26087,.99,+++,
33,Saturday May 3,boxscore,TOR,,CLE,L,3,5,,16-17,3,3.0,Allard,García,Clase,2:53,D,40507,1.03,-,
34,Sunday May 4,boxscore,TOR,,CLE,L,4,5,,16-18,3,3.0,Bibee,Francis,Clase,3:14,D,30641,.96,--,
35,Tuesday May 6,boxscore,TOR,@,LAA,L,3,8,,16-19,3,3.5,Neris,García,,2:43,N,25867,.92,---,
36,Wednesday May 7,boxscore,TOR,@,LAA,L-wo,4,5,,16-20,3,4.5,Burke,Hoffman,,2:46,N,26646,.90,----,
37,Thursday May 8,boxscore,TOR,@,LAA,W,8,5,,17-20,3,4.0,Bassitt,Johnson,Green,2:51,N,26245,.78,+,
38,Friday May 9,boxscore,TOR,@,SEA,W,6,3,,18-20,3,4.0,Gausman,Castillo,Hoffman,2:52,N,31564,.87,++,
39,Saturday May 10,boxscore,TOR,@,SEA,W,6,3,,19-20,3,3.0,Fluharty,Vargas,Hoffman,2:37,N,31182,.93,+++,
40,Sunday May 11,boxscore,TOR,@,SEA,W,9,1,,20-20,3,3.0,Lauer,Miller,,2:32,D,36823,1.03,++++,
41,Tuesday May 13,boxscore,TOR,,TBR,L,9,11,,20-21,3,3.5,Uceta,Hoffman,Montgomery,2:56,N,27717,1.03,-,
42,Wednesday May 14,boxscore,TOR,,TBR,W,3,1,,21-21,2,3.5,Little,Pepiot,García,2:27,N,22314,1.01,+,
43,Thursday May 15,boxscore,TOR,,TBR,L,3,8,,21-22,2,4.0,Littell,Gausman,,2:34,D,22856,1.03,-,
44,Friday May 16,boxscore,TOR,,DET,L,4,5,,21-23,2,5.0,Flaherty,Francis,Brieske,2:55,N,23146,.96,--,
45,Saturday May 17,boxscore,TOR,,DET,W-wo,2,1,,22-23,2,4.0,Hoffman,Hanifee,,2:23,D,40171,.87,+,
46,Sunday May 18,boxscore,TOR,,DET,L,2,3,,22-24,2,5.0,Jobe,Fluharty,Vest,2:45,D,36064,.97,-,
47,Tuesday May 20,boxscore,TOR,,SDP,W,3,0,,23-24,3,5.0,Bassitt,Cease,Hoffman,2:15,N,23597,.85,+,
48,Wednesday May 21,boxscore,TOR,,SDP,W,14,0,,24-24,2,5.0,Gausman,Vásquez,,2:42,N,23266,.88,++,
49,Thursday May 22,boxscore,TOR,,SDP,W-wo,7,6,11,25-24,2,5.0,Fisher,Estrada,,3:31,D,33971,.93,+++,
50,Friday May 23,boxscore,TOR,@,TBR,L,1,3,,25-25,2,5.0,Rasmussen,Lauer,Fairbanks,2:35,N,10046,1.06,-,
51,Saturday May 24,boxscore,TOR,@,TBR,L,1,3,,25-26,3,6.0,Baz,Berríos,Fairbanks,2:17,N,10046,1.00,--,
52,Sunday May 25,boxscore,TOR,@,TBR,L,0,13,,25-27,4,7.0,Pepiot,Bassitt,,2:44,D,10046,1.02,---,
53,Monday May 26,boxscore,TOR,@,TEX,W,2,1,,26-27,3,7.0,Gausman,deGrom,Hoffman,2:18,D,33766,.87,+,
54,Tuesday May 27,boxscore,TOR,@,TEX,L,0,2,,26-28,3,8.0,Jackson,Green,Garcia,2:38,N,25818,.90,-,
55,Wednesday May 28,boxscore,TOR,@,TEX,W,2,0,,27-28,3,8.0,Little,Webb,Hoffman,2:33,N,20811,.86,+,
56,Thursday May 29,boxscore,TOR,,ATH,W,12,0,,28-28,3,7.5,Berríos,Lopez,,2:31,N,23853,.89,++,
57,Friday May 30,boxscore,TOR,,ATH,W,11,7,,29-28,2,6.5,Bassitt,Springs,,2:58,N,36951,.93,+++,
58,Saturday May 31,boxscore,TOR,,ATH,W,8,7,,30-28,2,5.5,Lucas,Hoglund,Hoffman,2:36,D,38017,1.00,++++,
59,Sunday Jun 1,boxscore,TOR,,ATH,W,8,4,,31-28,2,5.5,Swanson,Sterner,,2:54,D,30130,1.08,+++++,
60,Tuesday Jun 3,boxscore,TOR,,PHI,L,3,8,,31-29,2,6.5,Sánchez,Francis,,2:46,N,32632,1.09,-,
61,Wednesday Jun 4,boxscore,TOR,,PHI,W-wo,2,1,,32-29,2,5.5,Hoffman,Romano,,2:25,N,25716,1.01,+,
62,Thursday Jun 5,boxscore,TOR,,PHI,W,9,1,,33-29,2,5.5,Bassitt,Luzardo,,2:23,D,33728,1.05,++,
63,Friday Jun 6,boxscore,TOR,@,MIN,W,6,4,,34-29,2,5.5,Lauer,Ober,Hoffman,2:42,N,26847,1.21,+++,
64,Saturday Jun 7,boxscore,TOR,@,MIN,W,5,4,,35-29,2,4.5,Green,Jax,Hoffman,2:34,D,23476,1.24,++++,
65,Sunday Jun 8,boxscore,TOR,@,MIN,L,3,6,,35-30,2,4.5,Ryan,Francis,Duran,2:57,D,22078,1.30,-,
66,Monday Jun 9,boxscore,TOR,@,STL,W,5,4,10,36-30,2,4.0,Rodríguez,Maton,Hoffman,2:48,N,30851,1.17,+,
67,Tuesday Jun 10,boxscore,TOR,@,STL,W,10,9,,37-30,2,4.0,Bassitt,Mikolas,Hoffman,2:36,N,29278,1.21,++,
68,Wednesday Jun 11,boxscore,TOR,@,STL,W,5,2,,38-30,2,4.0,Turnbull,Liberatore,Rodríguez,2:48,D,28530,1.29,+++,
69,Friday Jun 13,boxscore,TOR,@,PHI,L,0,8,,38-31,2,4.5,Suarez,Gausman,,2:29,N,40596,1.26,-,
70,Saturday Jun 14,boxscore,TOR,@,PHI,L,2,3,,38-32,2,4.5,Kerkering,Green,Strahm,2:34,D,43711,1.23,--,
71,Sunday Jun 15,boxscore,TOR,@,PHI,L,4,11,,38-33,3,4.5,Wheeler,Berríos,,3:00,D,44681,1.22,---,
72,Tuesday Jun 17,boxscore,TOR,,ARI,W-wo,5,4,,39-33,3,3.0,Hoffman,Miller,,2:57,N,38537,1.22,+,
73,Wednesday Jun 18,boxscore,TOR,,ARI,W,8,1,,40-33,3,2.0,Lauer,Rodríguez,,2:44,N,27635,1.24,++,
74,Thursday Jun 19,boxscore,TOR,,ARI,L,5,9,,40-34,3,3.0,Nelson,Gausman,,2:46,D,33978,1.29,-,
