Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 27,boxscore,WSN,,PHI,L,3,7,10,0-1,3,1.0,Alvarado,Poche,,3:09,D,41231,1.01,-,
2,Saturday Mar 29,boxscore,WSN,,PHI,L,6,11,,0-2,4,2.0,Luzardo,Poche,,3:13,D,38446,.98,--,
3,Sunday Mar 30,boxscore,WSN,,PHI,W,5,1,,1-2,3,1.5,Parker,Nola,Finnegan,2:33,D,28075,.89,+,
4,Monday Mar 31,boxscore,WSN,@,TOR,L,2,5,,1-3,4,2.0,Francis,Soroka,García,2:41,N,20137,.85,-,
5,Tuesday Apr 1,boxscore,WSN,@,TOR,L,3,5,,1-4,4,2.5,Green,Ferrer,Hoffman,2:37,N,21845,.83,--,
6,Wednesday Apr 2,boxscore,WSN,@,TOR,L,2,4,,1-5,4,3.5,Lucas,Gore,Hoffman,2:27,D,20104,.78,---,
7,Friday Apr 4,boxscore,WSN,,ARI,L,4,6,,1-6,4,5.0,Pfaadt,Ferrer,Martinez,2:34,N,18974,.73,----,
8,Saturday Apr 5,boxscore,WSN,,ARI,W,4,3,,2-6,4,4.0,Parker,Rodríguez,Finnegan,2:24,D,25916,.70,+,
9,Sunday Apr 6,boxscore,WSN,,ARI,W,5,4,,3-6,4,4.0,Williams,Burnes,Finnegan,2:50,D,14528,.72,++,
10,Monday Apr 7,boxscore,WSN,,LAD,W,6,4,,4-6,4,3.5,Gore,May,Finnegan,2:34,N,22546,.75,+++,
11,Tuesday Apr 8,boxscore,WSN,,LAD,W,8,2,,5-6,3,3.0,Poche,Wrobleski,,2:36,N,24847,.84,++++,
12,Wednesday Apr 9,boxscore,WSN,,LAD,L,5,6,,5-7,4,3.5,Yates,Salazar,Treinen,2:45,D,21014,.86,-,
13,Friday Apr 11,boxscore,WSN,@,MIA,W,7,4,,6-7,3,3.0,Sims,Bender,Finnegan,2:48,N,9094,.86,+,
14,Saturday Apr 12,boxscore,WSN,@,MIA,L,6,7,,6-8,4,3.0,Alcantara,Williams,Faucher,2:33,D,18549,.92,-,
